file,phase,workload,quality,cssWidth,cssHeight,ratio,intervals,seconds,callbackRateHz,rafMedianMs,rafP95Ms,rafP99Ms,rafMaximumMs,over16_9,over33_5,over50,cpuSectionP95Ms,cpuSectionP99Ms,cpuSectionMaximumMs,cpuCallbackP95Ms,cpuCallbackP99Ms,cpuCallbackMaximumMs,cpuSimulationP95Ms,cpuRenderP95Ms,gpuMedianMs,gpuP95Ms,gpuP99Ms,gpuMaximumMs,gpuSamples,gpuSkipped,gpuDisjoint,gpuDiscarded,drawCalls,triangles,geometryDelta,textureDelta,retainedProgramDelta,longTasks,readyMs,mapsMs,worldBuildMs,device
after-perf-auto-street.txt,final,CONTROLLED COMBAT BENCHMARK MEASURED · Street,auto,1280,720,1.2,1200,10,120,8.3,9.1,9.3,9.5,0,0,0,6.1,,7.3,6.1,,7.4,2.7,3.9,2.88,3.94,,,1199,0,0,0,526,363255,0,0,0,0,2470,185,499,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-auto-sweep-repeat.txt,final,PAUSED CAMERA SWEEP BENCHMARK MEASURED · Street,auto,1280,720,1.2,1201,10.01,120,8.3,9.2,9.3,9.4,0,0,0,4.6,,5.8,4.6,,5.9,,4.6,3.31,4.99,,,1200,0,0,0,678,160274,0,0,0,0,2470,185,499,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-auto-sweep.txt,final,PAUSED CAMERA SWEEP BENCHMARK MEASURED · Street,auto,1280,720,1.2,1201,10.01,120,8.3,9.3,9.4,9.4,0,0,0,5,,5.6,5.1,,5.7,,5,2.69,5.52,,,1200,0,0,0,678,160272,0,0,0,0,2470,185,499,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-melee-repeat.txt,final,CONTROLLED BALCONY MELEE BENCHMARK MEASURED · Balcony,high,1280,720,2,1201,10.01,120,8.3,9.3,9.4,9.4,0,0,0,6.2,,6.9,6.2,,7,2.8,3.9,3.53,15.8,,,1200,0,0,0,780,337207,0,0,0,0,2605,200,544,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-melee.txt,final,CONTROLLED BALCONY MELEE BENCHMARK MEASURED · Balcony,high,1280,720,2,1200,10,120,8.3,9.2,9.3,9.4,0,0,0,7.5,,9.5,7.5,,9.6,2.8,5.2,4.36,13.39,,,1199,0,0,0,780,337227,0,0,0,0,2470,185,499,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-roof.txt,final,CONTROLLED ROOFTOP COMBAT BENCHMARK MEASURED · Rooftop,high,1280,720,2,1201,10.01,120,8.3,9.2,9.3,9.4,0,0,0,6.2,,7.1,6.3,,7.2,2.9,4,2.81,4.35,,,1200,0,0,0,471,350323,4,0,0,0,2470,185,499,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-street.txt,final,CONTROLLED COMBAT BENCHMARK MEASURED · Street,high,1280,720,2,1201,10.01,120,8.3,9.3,9.4,9.4,0,0,0,6,,7.3,6,,7.3,2.7,4,3.9,4.95,,,1200,0,0,0,524,360333,1,1,0,0,2470,185,499,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
before-perf-auto-street.txt,baseline,CONTROLLED COMBAT BENCHMARK MEASURED · Street,auto,1280,720,1.2,1200,10,120,8.3,9.2,9.4,9.4,0,0,0,8.3,,9.8,8.4,,9.8,3.9,4.9,2.01,4.49,,,1199,0,0,0,525,363353,0,0,0,0,2670,224,587,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
before-perf-auto-sweep.txt,baseline,PAUSED CAMERA SWEEP BENCHMARK MEASURED · Street,auto,1280,720,1.2,1000,10.01,99.9,8.3,16.91,25,25.7,50,0,0,6.5,,7.3,6.5,,7.4,,6.5,1.9,4.54,,,999,0,0,0,697,162766,0,0,0,0,2670,224,587,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
before-perf-high2-roof.txt,baseline,CONTROLLED ROOFTOP COMBAT BENCHMARK MEASURED · Rooftop,high,1280,720,2,1201,10.01,120,8.3,9.1,9.3,9.4,0,0,0,6.8,,10.6,6.8,,10.7,3.4,4.8,3.61,4.24,,,1200,0,0,0,473,351987,4,0,0,0,2670,224,587,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
before-perf-high2-street.txt,baseline,CONTROLLED COMBAT BENCHMARK MEASURED · Street,high,1280,720,2,1127,10,112.7,8.3,16.6,16.77,24.1,6,0,0,9.97,,13,10.07,,13.1,4.9,6,4.68,6.21,,,1126,0,0,0,526,363680,1,1,0,0,2670,224,587,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
control-perf-auto-sweep.txt,control,PAUSED CAMERA SWEEP BENCHMARK MEASURED · Street,auto,1280,720,1.2,1200,10,120,8.3,9.3,9.4,9.4,0,0,0,4.2,,8.7,4.2,,8.7,,4.2,2.42,5.06,,,1199,0,0,0,678,160167,3,0,1,0,2482,199,531,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
control-perf-high2-melee-repeat.txt,control,CONTROLLED BALCONY MELEE BENCHMARK MEASURED · Balcony,high,1280,720,2,1201,10.01,120,8.3,9.2,9.3,9.4,0,0,0,5.9,,8.3,6,,8.3,2.6,3.7,3.41,15.61,,,1200,0,0,0,780,337341,0,0,0,0,2482,199,531,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
control-perf-high2-melee.txt,control,CONTROLLED BALCONY MELEE BENCHMARK MEASURED · Balcony,high,1280,720,2,1200,10,120,8.3,9.2,9.3,9.4,0,0,0,4.9,,5.5,4.9,,5.5,1.1,4,4.74,8.81,,,1199,0,0,0,780,337565,0,0,0,0,2482,199,531,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
