file,phase,workload,quality,cssWidth,cssHeight,ratio,intervals,seconds,callbackRateHz,rafMedianMs,rafP95Ms,rafP99Ms,rafMaximumMs,over16_9,over33_5,over50,cpuSectionP95Ms,cpuSectionP99Ms,cpuSectionMaximumMs,cpuCallbackP95Ms,cpuCallbackP99Ms,cpuCallbackMaximumMs,cpuSimulationP95Ms,cpuRenderP95Ms,gpuMedianMs,gpuP95Ms,gpuP99Ms,gpuMaximumMs,gpuSamples,gpuSkipped,gpuDisjoint,gpuDiscarded,drawCalls,triangles,geometryDelta,textureDelta,retainedProgramDelta,longTasks,readyMs,mapsMs,worldBuildMs,device
after-perf-auto-street.txt,final,CONTROLLED COMBAT BENCHMARK MEASURED · Street,auto,1280,720,1.2,1201,10.01,120,8.3,9.3,9.4,9.4,0,0,0,5.2,,6,5.2,,6,2.7,3.1,2.26,3.74,,,1200,0,0,0,527,365734,0,0,0,0,2586,199,506,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-auto-sweep.txt,final,PAUSED CAMERA SWEEP BENCHMARK MEASURED · Street,auto,1280,720,1.2,1200,10,120,8.3,9.3,9.4,9.4,0,0,0,4.1,,4.8,4.2,,4.8,,4.1,2.36,4.71,,,1199,0,0,0,678,160167,0,0,0,0,2586,199,506,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-apartment-sweep.txt,final,PAUSED CAMERA SWEEP BENCHMARK MEASURED · Apartment,high,1280,720,2,1201,10.01,120,8.3,9.3,9.4,9.4,0,0,0,3.7,,5.2,3.7,,5.4,,3.7,4.71,5.69,,,1200,0,0,0,668,165049,0,0,0,0,2586,199,506,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-melee-repeat.txt,final,CONTROLLED BALCONY MELEE BENCHMARK MEASURED · Balcony,high,1280,720,2,1106,10,110.6,8.3,16.6,16.8,25,7,0,0,7,,10.8,7,,10.8,3.07,5.4,4.98,17.18,,,1102,0,0,0,780,336872,0,0,0,0,2586,199,506,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-melee.txt,final,CONTROLLED BALCONY MELEE BENCHMARK MEASURED · Balcony,high,1280,720,2,1188,10.01,118.7,8.3,9.2,16.04,16.9,0,0,0,6.1,,7.1,6.1,,7.1,2.6,3.9,4.97,17.23,,,1185,0,0,0,780,337727,0,0,0,0,2586,199,506,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-roof.txt,final,CONTROLLED ROOFTOP COMBAT BENCHMARK MEASURED · Rooftop,high,1280,720,2,1201,10.01,120,8.3,9.3,9.4,9.5,0,0,0,5.2,,6.6,5.2,,6.6,2.7,3.1,2.88,4.77,,,1200,0,0,0,472,350581,4,0,0,0,2586,199,506,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-street-repeat.txt,final,CONTROLLED COMBAT BENCHMARK MEASURED · Street,high,1280,720,2,1200,10.01,119.9,8.3,9.3,9.4,15.8,0,0,0,5,,6,5.1,,6,2.6,3,3.43,5.58,,,1199,0,0,0,523,360356,0,0,0,0,2586,199,506,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-street.txt,final,CONTROLLED COMBAT BENCHMARK MEASURED · Street,high,1280,720,2,1195,10.01,119.4,8.3,9.3,9.4,16.8,0,0,0,5,,7.1,5,,7.1,1.9,3.6,4.08,6.89,,,1194,0,0,0,526,363230,1,1,0,0,2586,199,506,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
before-perf-auto-street.txt,baseline,CONTROLLED COMBAT BENCHMARK MEASURED · Street,auto,1280,720,1.2,1201,10.01,120,8.3,9.3,9.4,9.4,0,0,0,5.8,,6.8,5.9,,7,2.8,3.5,2.37,4.79,,,1200,0,0,0,530,366012,0,0,0,0,2455,215,563,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
before-perf-auto-sweep.txt,baseline,PAUSED CAMERA SWEEP BENCHMARK MEASURED · Street,auto,1280,720,1.2,1200,10,120,8.3,9.3,9.4,9.5,0,0,0,4.5,,5.5,4.5,,5.5,,4.5,2.57,5.46,,,1199,0,0,0,683,163836,0,0,0,0,2455,215,563,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
before-perf-high2-apartment-sweep.txt,baseline,PAUSED CAMERA SWEEP BENCHMARK MEASURED · Apartment,high,1280,720,2,1201,10.01,120,8.3,9.3,9.4,9.4,0,0,0,4.7,,5.4,4.7,,5.4,,4.7,4.07,5.38,,,1200,0,0,0,673,168761,0,0,0,0,2455,215,563,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
