file,phase,workload,quality,cssWidth,cssHeight,ratio,intervals,seconds,callbackRateHz,rafMedianMs,rafP95Ms,rafP99Ms,rafMaximumMs,over16_9,over33_5,over50,cpuSectionP95Ms,cpuSectionP99Ms,cpuSectionMaximumMs,cpuCallbackP95Ms,cpuCallbackP99Ms,cpuCallbackMaximumMs,cpuSimulationP95Ms,cpuRenderP95Ms,gpuMedianMs,gpuP95Ms,gpuP99Ms,gpuMaximumMs,gpuSamples,gpuSkipped,gpuDisjoint,gpuDiscarded,drawCalls,triangles,geometryDelta,textureDelta,retainedProgramDelta,longTasks,readyMs,mapsMs,worldBuildMs,device
after-perf-auto-melee-native-repeat.txt,final,CONTROLLED BALCONY MELEE BENCHMARK MEASURED · Balcony,auto,1280,720,1.2,1201,10.01,120,8.3,9,9.3,9.4,0,0,0,5.7,,7.3,5.7,,7.3,2.1,3.9,2.56,8.05,,,1200,0,0,0,788,342928,0,0,0,0,2537,190,514,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-auto-melee.txt,final,CONTROLLED BALCONY MELEE BENCHMARK MEASURED · Balcony,auto,1280,720,1.2,1200,10,120,8.3,9.2,9.4,9.4,0,0,0,6.3,,7,6.4,,7.1,2.9,3.8,2.24,7.93,,,1199,0,0,0,788,342676,0,0,0,0,2818,218,545,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-auto-roof.txt,final,CONTROLLED ROOFTOP COMBAT BENCHMARK MEASURED · Rooftop,auto,1280,720,1.2,1200,10,120,8.3,9.3,9.4,9.4,0,0,0,5.5,,6.1,5.5,,6.1,3,3,2.43,3.53,,,1199,0,0,0,471,350649,0,0,0,0,2818,218,545,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-auto-street.txt,final,CONTROLLED COMBAT BENCHMARK MEASURED · Street,auto,1280,720,1.2,1201,10.01,120,8.3,9.3,9.4,9.4,0,0,0,5.5,,6.1,5.5,,6.2,3,3.1,2.99,4.58,,,1200,0,0,0,530,365634,0,0,0,0,2818,218,545,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-melee-fresh.txt,final,CONTROLLED BALCONY MELEE BENCHMARK MEASURED · Balcony,high,1280,720,2,1200,10,120,8.3,9,9.3,9.4,0,0,0,5.6,,7,5.6,,7,2.1,4.2,2.79,8.26,,,1199,0,0,0,788,342402,0,0,0,0,2494,204,501,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-melee.txt,final,CONTROLLED BALCONY MELEE BENCHMARK MEASURED · Balcony,high,1280,720,2,1201,10.01,120,8.3,9,9.3,9.4,0,0,0,6.5,,7.7,6.5,,7.8,2.8,4.3,3.76,12.44,,,1200,0,0,0,788,342739,0,0,0,0,2818,218,545,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-roof-repeat.txt,final,CONTROLLED ROOFTOP COMBAT BENCHMARK MEASURED · Rooftop,high,1280,720,2,1200,10,120,8.3,9.2,9.3,9.4,0,0,0,5.6,,6.8,5.6,,6.9,3,3.1,3.73,4.84,,,1199,0,0,0,471,350793,4,1,0,0,2494,204,501,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-roof.txt,final,CONTROLLED ROOFTOP COMBAT BENCHMARK MEASURED · Rooftop,high,1280,720,2,1201,10.01,120,8.3,9.2,9.4,9.4,0,0,0,5.7,,6.3,5.8,,6.4,3,3.2,3.57,4.18,,,1200,0,0,0,470,349591,4,0,0,0,2818,218,545,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
after-perf-high2-street.txt,final,CONTROLLED COMBAT BENCHMARK MEASURED · Street,high,1280,720,2,1201,10.01,120,8.3,9.1,9.3,9.4,0,0,0,5.8,,6.6,5.9,,6.7,3.1,3.2,3.33,4.18,,,1200,0,0,0,529,365306,0,0,0,0,2818,218,545,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
before-perf-auto-melee.txt,baseline,CONTROLLED BALCONY MELEE BENCHMARK MEASURED · Balcony,auto,1280,720,1.2,1201,10.01,120,8.3,9.3,9.4,9.4,0,0,0,6.8,,7.7,6.8,,7.8,2.8,4.2,2.23,7.32,,,1200,0,0,0,785,340434,0,0,0,0,2514,219,572,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
before-perf-auto-roof.txt,baseline,CONTROLLED ROOFTOP COMBAT BENCHMARK MEASURED · Rooftop,auto,1280,720,1.2,1200,10,120,8.3,9.2,9.4,9.4,0,0,0,6.1,,7,6.1,,7,3.1,3.4,2.57,3.63,,,1199,0,0,0,468,349711,0,0,0,0,2514,219,572,"ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Unspecified Version)"
